FID,Persistence,Family,Genus,Genus_species,Repro_strategy,M_wing_color,z.temp.change,z.burned
1463,1,Aeshnidae,Anax,Anax_junius,f,n,-2.045692503,1.432356193
1464,1,Libellulidae,Libellula,Libellula_saturata,p,y,-1.044778879,1.576244965
1464,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,-1.044778879,1.576244965
1470,1,Aeshnidae,Aeshna,Aeshna_palmata,f,n,2.107682513,1.742027512
1470,1,Libellulidae,Libellula,Libellula_quadrimaculata,p,y,2.107682513,1.742027512
1470,1,Libellulidae,Libellula,Libellula_saturata,p,y,2.107682513,1.742027512
1470,1,Aeshnidae,Aeshna,Aeshna_interrupta,f,n,2.107682513,1.742027512
1470,1,Libellulidae,Sympetrum,Sympetrum_pallipes,p,n,2.107682513,1.742027512
1470,1,Libellulidae,Sympetrum,Sympetrum_corruptum,p,n,2.107682513,1.742027512
1471,0,Aeshnidae,Aeshna,Aeshna_palmata,f,n,0.904446713,1.338908821
1475,0,Libellulidae,Celithemis,Celithemis_eponina,p,y,2.132082324,0.558134087
1480,1,Libellulidae,Pachydiplax,Pachydiplax_longipennis,p,y,2.130078786,0.90683011
1480,1,Libellulidae,Celithemis,Celithemis_eponina,p,y,2.130078786,0.90683011
1480,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,2.130078786,0.90683011
1480,1,Libellulidae,Perithemis,Perithemis_tenera,p,y,2.130078786,0.90683011
1483,0,Gomphidae,Stylogomphus,Stylogomphus_albistylus,p,n,1.023329152,0.101831183
1484,0,Corduliidae,Epitheca,Epitheca_cynosura,p,y,0.201995791,-0.146841722
1484,1,Gomphidae,Dromogomphus,Dromogomphus_spinosus,p,n,0.201995791,-0.146841722
1488,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-2.073285086,-0.039393302
1492,1,Libellulidae,Libellula,Libellula_incesta,p,n,-0.681775309,-0.330726866
1492,1,Aeshnidae,Boyeria,Boyeria_vinosa,f,y,-0.681775309,-0.330726866
1493,1,Libellulidae,Erythemis,Erythemis_simplicicollis,p,n,-0.534585575,-0.634698653
